X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
Jérôme Boateng,82,CB,Rare,1.4K,2,4,M \ M,70,50,72,66,82,79,"192cm | 6'4""
                                                                              High & Stocky  (90kg)",316,419,1963
Marko Arnautović,82,ST,Rare,1K,4,4,M \ L,80,82,79,79,44,81,"192cm | 6'4""
                                                                              High & Average  (83kg)",115,445,2135
Aleksandar Kolarov,82,LB,Rare,1.6K,3,3,H \ M,68,74,81,77,82,77,"187cm | 6'2""
                                                                              High & Average  (81kg)",87,459,2268
Aaron Ramsey,82,CM,Rare,1K,3,3,H \ H,68,77,79,80,68,73,"183cm | 6'0""
                                                                              Lean  (76kg)",105,445,2161
Sergio Canales Madrazo,82,CM,Rare,1.8K,4,3,H \ M,78,80,83,83,65,68,"176cm | 5'9""
                                                                              Lean  (65kg)",170,457,2155
Alphonse Areola,82,GK,Rare,0,1,3,M \ M,85,79,80,84,55,78,"195cm | 6'5""
                                                                              Unique  (94kg)",74,461,1038
Mário Figueira Fernandes,82,RWB,Rare,950,3,3,H \ M,82,61,74,78,79,79,"187cm | 6'2""
                                                                              High & Average+  (80kg)",81,453,2114
Oliver Baumann,82,GK,Rare,1K,1,1,M \ M,81,80,79,82,49,79,"187cm | 6'2""
                                                                              High & Average  (82kg)",157,450,912
Norberto Murara Neto,82,GK,Rare,2.5K,1,2,M \ M,84,79,78,80,54,79,"190cm | 6'3""
                                                                              High & Average+  (84kg)",225,454,997
Mattia Perin,82,GK,Rare,1K,1,3,M \ M,82,82,71,87,57,79,"188cm | 6'2""
                                                                              High & Average+  (77kg)",91,458,941
Rodrigo Moreno Machado,82,ST,Rare,2.4K,4,3,H \ M,91,79,76,81,44,71,"182cm | 6'0""
                                                                              Lean  (77kg)",4360,442,2108
Danilo Luís Hélio Pereira,82,CDM,Rare,12.25K,3,3,M \ H,66,63,72,74,80,85,"188cm | 6'2""
                                                                              High & Average  (83kg)",51,440,2050
Agustín Marchesín,82,GK,Non-Rare,1.2K,1,3,M \ M,82,78,76,86,54,81,"188cm | 6'2""
                                                                              High & Average  (85kg)",40,457,1035
Álvaro Borja Morata Martín,82,ST,Rare,0,3,4,H \ H,80,80,71,81,31,77,"190cm | 6'3""
                                                                              High & Average  (84kg)",75,420,1983
Gabriel Armando de Abreu,82,CB,Rare,1.6K,2,2,L \ H,68,49,71,65,84,83,"185cm | 6'1""
                                                                              High & Average+  (72kg)",208,420,1987
Karim Bellarabi,82,RM,Rare,1.6K,4,3,H \ M,90,76,74,84,34,72,"184cm | 6'0""
                                                                              Average  (81kg)",386,430,2014
Harry Maguire,82,CB,Rare,2K,2,3,H \ H,50,53,69,71,82,85,"194cm | 6'4""
                                                                              High & Stocky  (100kg)",-560,410,1959
Nick Pope,82,GK,Rare,1.4K,1,3,M \ M,79,81,75,84,49,83,"200cm | 6'7""
                                                                              High & Average+  (76kg)",3243,451,924
Tomáš Vaclík,82,GK,Rare,1K,1,3,M \ M,82,76,76,85,36,81,"188cm | 6'2""
                                                                              High & Average  (85kg)",434,436,948
Florian Thauvin,82,RW,Rare,1.5K,4,3,H \ M,82,80,81,82,41,68,"179cm | 5'10""
                                                                              Average  (70kg)",143,434,2105
Lucas Ocampos,82,RW,Rare,1.2K,4,3,H \ H,82,83,78,82,63,84,"188cm | 6'2""
                                                                              High & Average  (84kg)",219,472,2245
Kepa Arrizabalaga,82,GK,Rare,1.2K,1,4,M \ M,81,82,85,82,34,79,"186cm | 6'1""
                                                                              High & Average+  (88kg)",-444,443,970
Matthias Ginter,82,CB,Rare,1.4K,2,3,M \ M,61,58,70,65,85,78,"191cm | 6'3""
                                                                              High & Average  (86kg)",59,417,1952
Fernando Pacheco Flores,82,GK,Rare,1K,1,2,M \ M,81,79,71,84,46,83,"186cm | 6'1""
                                                                              High & Average  (81kg)",69,444,974
Marcel Halstenberg,82,LB,Rare,1K,3,3,H \ M,66,66,73,72,81,80,"188cm | 6'2""
                                                                              High & Average  (87kg)",67,438,2124
Ángel Correa,82,RM,Rare,1.9K,4,4,H \ M,84,80,75,86,54,70,"171cm | 5'7""
                                                                              Average  (70kg)",318,449,2121
Gerónimo Rulli,82,GK,Rare,1K,1,3,M \ M,85,78,77,88,54,78,"189cm | 6'2""
                                                                              High & Average  (84kg)",244,460,972
Dakonam Djené,82,CB,Rare,1.4K,2,4,M \ H,72,37,62,62,84,80,"178cm | 5'10""
                                                                              Average  (72kg)",144,397,1876
Lucas Hernández,82,CB,Rare,1.5K,2,3,H \ H,77,54,70,71,83,79,"182cm | 6'0""
                                                                              Unique  (76kg)",1503,434,2033
Robin Gosens,82,LM,Rare,1.2K,3,3,H \ H,83,74,78,77,77,80,"183cm | 6'0""
                                                                              Average  (76kg)",368,469,2208
David Soria Solís,82,GK,Non-Rare,1.1K,1,3,M \ M,83,81,72,84,43,81,"192cm | 6'4""
                                                                              High & Average+  (85kg)",63,444,936
Rúben Diogo da Silva Neves,82,CM,Rare,1K,3,4,L \ H,61,75,84,77,71,73,"180cm | 5'11""
                                                                              Average  (80kg)",146,441,2182
Konrad Laimer,82,CDM,Rare,1K,3,3,M \ H,85,68,78,78,80,77,"180cm | 5'11""
                                                                              Lean  (72kg)",1267,466,2170
Fabián Ruiz Peña,82,CM,Rare,1.2K,4,4,M \ M,63,78,78,82,74,68,"189cm | 6'2""
                                                                              High & Average+  (70kg)",124,443,2122
Jiří Pavlenka,82,GK,Rare,1K,1,3,M \ M,84,76,68,87,36,76,"196cm | 6'5""
                                                                              High & Average  (81kg)",134,427,737
Sergio Reguilón Rodríguez,82,LB,Rare,0,2,3,H \ M,85,55,73,78,78,70,"178cm | 5'10""
                                                                              Average  (68kg)",223,439,2041
Morata,82,ST,Rare,1.9K,3,4,H \ H,80,80,71,81,31,77,"190cm | 6'3""
                                                                              High & Average  (84kg)",177,420,1983
Sergio Reguilón Rodríguez,82,LB,Rare,1.3K,2,3,H \ M,85,55,73,78,78,70,"178cm | 5'10""
                                                                              Average  (68kg)",1084,439,2041
Alphonse Areola,82,GK,Rare,1.2K,1,3,M \ M,85,79,80,84,55,78,"195cm | 6'5""
                                                                              Unique  (94kg)",1012,461,1038
Danilo Luís Hélio Pereira,82,CDM,Rare,1.1K,3,3,M \ H,66,63,72,74,80,85,"188cm | 6'2""
                                                                              High & Average  (83kg)",111,440,2050
Mesut Özil,82,CAM,Rare,1K,4,2,M \ L,64,69,85,83,24,55,"180cm | 5'11""
                                                                              Unique  (71kg)",488,380,1879
Quincy Promes,82,CAM,Rare,1K,5,4,H \ M,89,80,79,82,46,71,"174cm | 5'9""
                                                                              Average  (72kg)",-619,447,2136
João Félix Sequeira,81,CF,Rare,2K,5,4,M \ M,81,81,74,83,40,69,"181cm | 5'11""
                                                                              Lean  (70kg)",1529,428,2076
Davinson Sánchez,81,CB,Rare,2.4K,2,2,M \ H,74,45,56,66,82,81,"187cm | 6'2""
                                                                              Unique  (79kg)",1174,404,1820
Xherdan Shaqiri,81,RM,Rare,1.1K,5,4,M \ M,79,77,80,83,46,67,"169cm | 5'7""
                                                                              Shaqiri  (72kg)",180,432,2085
Naby Keïta,81,CM,Rare,1.1K,4,4,H \ M,71,73,76,87,65,66,"172cm | 5'8""
                                                                              Lean  (64kg)",162,438,2100
Benjamin Mendy,81,LB,Rare,2.7K,3,3,H \ L,80,54,77,77,77,77,"185cm | 6'1""
                                                                              High & Stocky  (85kg)",189,442,2067
Ferrán Torres,81,RM,Rare,1.4K,4,4,H \ M,82,76,78,80,34,64,"184cm | 6'0""
                                                                              Lean  (77kg)",242,414,1965
Presnel Kimpembe,81,CB,Rare,7.7K,2,3,H \ H,73,39,67,67,80,84,"189cm | 6'2""
                                                                              High & Average  (80kg)",680,410,1903
Pablo Sarabia,81,RW,Rare,1.3K,4,4,H \ M,73,76,82,82,57,57,"174cm | 5'9""
                                                                              Average  (70kg)",36,427,2041
Christian Pulisic,81,LW,Rare,1.9K,4,4,M \ M,89,70,72,84,37,59,"177cm | 5'10""
                                                                              Lean  (69kg)",289,411,1954
Thomas Meunier,81,RB,Rare,1.2K,3,4,H \ M,77,73,76,74,77,84,"190cm | 6'3""
                                                                              High & Average  (82kg)",57,461,2158
Thomas Delaney,81,CDM,Rare,1.2K,3,4,L \ H,77,73,73,75,82,82,"182cm | 6'0""
                                                                              Average  (79kg)",202,462,2221
Marcos Alonso,81,LB,Rare,1.4K,3,3,H \ L,65,75,78,77,77,79,"188cm | 6'2""
                                                                              High & Average+  (85kg)",-28,451,2197
Ben Chilwell,81,LB,Rare,1.4K,3,3,H \ H,76,52,74,78,77,75,"178cm | 5'10""
                                                                              Average  (77kg)",140,432,2060
Antonio Rüdiger,81,CB,Rare,3K,2,3,M \ H,70,43,67,64,82,80,"190cm | 6'3""
                                                                              High & Average+  (85kg)",367,406,1878
Alphonso Davies,81,LB,Rare,1.6K,4,4,H \ M,96,67,69,82,76,76,"181cm | 5'11""
                                                                              Unique  (72kg)",4169,466,2138
Moussa Diaby,81,LM,Rare,1.5K,4,2,H \ M,93,66,74,84,43,53,"170cm | 5'7""
                                                                              Short & Lean-  (67kg)",233,413,1909
Marlos Romero Bonfim,81,RM,Rare,1K,5,3,M \ M,80,78,78,86,47,69,"174cm | 5'9""
                                                                              Average  (76kg)",58,438,2088
Ribéry,81,CF,Rare,1.1K,5,5,M \ M,74,74,82,86,30,53,"170cm | 5'7""
                                                                              Short & Lean-  (72kg)",754,399,1953
Juan Cuadrado,81,RB,Rare,1.9K,5,3,H \ M,89,72,78,87,72,64,"179cm | 5'10""
                                                                              Lean  (72kg)",716,462,2221
Iñaki Williams,81,ST,Rare,2K,4,2,H \ M,94,79,72,78,39,81,"186cm | 6'1""
                                                                              High & Average  (79kg)",1194,443,2059
Sebastián Coates,81,CB,Rare,1.3K,2,3,M \ M,59,43,54,61,83,86,"196cm | 6'5""
                                                                              High & Average  (92kg)",57,386,1741
André-Pierre Gignac,81,ST,Rare,1.1K,3,3,M \ M,67,83,74,74,43,83,"188cm | 6'2""
                                                                              High & Stocky  (89kg)",161,424,2039
Steven Berghuis,81,RW,Rare,1K,4,3,M \ M,80,80,83,82,36,64,"182cm | 6'0""
                                                                              Lean  (75kg)",210,425,2054
Josef Martínez,81,ST,Rare,1K,3,4,H \ M,89,80,61,79,25,75,"170cm | 5'7""
                                                                              Short and Balanced   (69kg)",374,409,1963
Andrés Iniesta Luján,81,CM,Rare,1K,4,4,H \ M,58,70,85,85,63,59,"171cm | 5'7""
                                                                              Short & Lean-  (68kg)",600,420,2058
Képler Laveran Lima Ferreira,81,CB,Rare,1.4K,2,3,M \ H,66,51,60,61,82,85,"188cm | 6'2""
                                                                              High & Average+  (81kg)",47,405,1888
Héctor Herrera,81,CM,Rare,1.6K,3,4,H \ H,71,75,75,76,78,83,"185cm | 6'1""
                                                                              High & Average  (80kg)",151,458,2168
Andrea Consigli,81,GK,Non-Rare,750,1,3,M \ M,81,82,72,83,42,80,"189cm | 6'2""
                                                                              High & Average+  (82kg)",41,440,871
Łukasz Fabiański,81,GK,Rare,1K,1,2,M \ M,80,82,70,82,49,81,"190cm | 6'3""
                                                                              High & Average  (83kg)",107,444,924
Stéphane Ruffier,81,GK,Non-Rare,4.8K,1,3,M \ M,80,81,74,81,47,82,"188cm | 6'2""
                                                                              High & Stocky  (93kg)",97,445,945
Marek Hamšík,81,CM,Rare,1.1K,4,5,H \ M,70,77,82,81,72,72,"183cm | 6'0""
                                                                              Lean  (73kg)",149,454,2195
Simon Mignolet,81,GK,Rare,1.1K,1,3,M \ M,80,75,76,82,51,84,"193cm | 6'4""
                                                                              High & Average  (87kg)",73,448,951
Iván Marcano Sierra,81,CB,Non-Rare,2.9K,2,3,M \ M,65,46,60,60,84,76,"189cm | 6'2""
                                                                              High & Average  (77kg)",29,391,1822
Sven Bender,81,CB,Non-Rare,1.9K,2,4,M \ H,66,52,63,62,84,77,"186cm | 6'1""
                                                                              High & Average+  (81kg)",60,404,1895
Javier Martínez Aginaga,81,CDM,Rare,1K,2,3,L \ M,37,55,69,64,84,80,"192cm | 6'4""
                                                                              High & Average  (86kg)",81,389,1917
Sami Khedira,81,CM,Rare,4.6K,2,4,M \ M,45,74,77,77,79,78,"189cm | 6'2""
                                                                              High & Average  (90kg)",30,430,2104
Max Kruse,81,CAM,Rare,1K,4,4,H \ M,66,81,81,82,45,70,"180cm | 5'11""
                                                                              Average  (76kg)",68,425,2087
Taison Barcellos Freda,81,LM,Rare,1.1K,4,3,M \ M,92,78,75,86,47,67,"172cm | 5'8""
                                                                              Lean  (75kg)",341,445,2087
Kevin Kampl,81,CM,Rare,1K,3,4,H \ H,69,67,80,85,63,62,"178cm | 5'10""
                                                                              Lean  (66kg)",75,426,2090
Jonathan Viera Ramos,81,CAM,Rare,1K,4,4,H \ M,81,75,81,82,63,69,"171cm | 5'7""
                                                                              Lean  (67kg)",103,451,2147
Jordi Masip López,81,GK,Rare,1K,1,4,M \ M,82,82,72,84,65,77,"180cm | 5'11""
                                                                              Lean  (76kg)",61,462,1053
Jasper Cillessen,81,GK,Non-Rare,1.5K,1,3,M \ M,81,80,77,79,54,80,"185cm | 6'1""
                                                                              High & Average+  (83kg)",58,451,985
Francisco Alcácer García,81,ST,Rare,1.2K,3,4,M \ L,78,84,67,80,35,62,"175cm | 5'9""
                                                                              Average  (72kg)",100,406,2003
Kevin Volland,81,ST,Rare,1K,3,4,H \ H,73,84,79,79,41,84,"179cm | 5'10""
                                                                              Stocky  (83kg)",78,440,2134
Ismaily Gonçalves dos S.,81,LB,Rare,1.5K,4,3,H \ M,82,64,74,81,75,75,"177cm | 5'10""
                                                                              Stocky  (86kg)",122,451,2093
Matt Doherty,81,RWB,Non-Rare,1.1K,3,4,H \ M,73,64,73,75,76,79,"182cm | 6'0""
                                                                              Average  (87kg)",47,440,2060
Felipe Anderson Pereira Gomes,81,LM,Rare,6.3K,4,4,H \ M,89,75,78,86,55,61,"175cm | 5'9""
                                                                              Unique  (70kg)",456,444,2071
Jesús Joaquín Fernández Sáez,81,RW,Rare,1K,4,3,H \ M,76,75,82,85,33,53,"176cm | 5'9""
                                                                              Average  (70kg)",55,404,1954
Alessandro Florenzi,81,RB,Rare,0,4,3,H \ H,81,77,76,79,77,73,"173cm | 5'8""
                                                                              Unique  (67kg)",74,463,2259
Santiago Arias,81,RB,Rare,10.75K,3,3,H \ M,81,53,70,76,77,78,"178cm | 5'10""
                                                                              Lean  (72kg)",71,435,2036
Eran Zahavi,81,ST,Rare,0,4,4,H \ L,79,82,75,82,39,73,"182cm | 6'0""
                                                                              Lean  (71kg)",-289,430,2080
Stefan Savić,81,CB,Non-Rare,2.7K,2,3,M \ H,61,35,54,57,84,72,"187cm | 6'2""
                                                                              High & Average+  (81kg)",24,363,1689
Jordan Pickford,81,GK,Rare,1.3K,1,5,M \ M,81,77,87,85,49,77,"185cm | 6'1""
                                                                              High & Average  (77kg)",-266,456,1141
Arkadiusz Milik,81,ST,Rare,4.1K,4,3,M \ M,68,85,64,76,39,73,"186cm | 6'1""
                                                                              High & Average+  (78kg)",72,405,1971
Alessio Cragno,81,GK,Rare,950,1,3,M \ M,84,78,69,88,39,76,"184cm | 6'0""
                                                                              Lean  (78kg)",71,434,872
Sébastien Haller,81,ST,Rare,4.8K,3,3,H \ M,70,80,62,75,51,82,"190cm | 6'3""
                                                                              High & Average  (82kg)",152,420,1999
Luke Shaw,81,LB,Rare,3.1K,3,2,M \ M,79,53,74,78,80,78,"181cm | 5'11""
                                                                              Stocky  (75kg)",155,442,2102
Marten de Roon,81,CDM,Rare,1.1K,3,3,M \ H,64,68,72,73,82,80,"185cm | 6'1""
                                                                              High & Average  (76kg)",94,439,2132
Frederico de Paula Santos,81,CDM,Rare,2.2K,4,4,H \ H,79,71,79,83,75,70,"169cm | 5'7""
                                                                              Short & Lean  (62kg)",2246,457,2217
Adrien Rabiot,81,CM,Rare,1.4K,3,3,M \ M,72,74,78,80,77,79,"192cm | 6'4""
                                                                              High & Average+  (80kg)",233,460,2195
Jonathan Castro Otto,81,LWB,Non-Rare,1.5K,3,3,H \ H,77,53,71,76,79,70,"170cm | 5'7""
                                                                              Short & Lean-  (70kg)",21,426,2024
Moussa Dembélé,81,ST,Rare,3.8K,3,3,H \ M,81,79,62,76,30,83,"183cm | 6'0""
                                                                              Average  (74kg)",204,411,1930
Odisseas Vlachodimos,81,GK,Rare,1K,1,3,M \ M,84,76,67,86,43,77,"188cm | 6'2""
                                                                              High & Average  (77kg)",44,433,924
Thomas Lemar,81,LM,Rare,1.5K,4,3,M \ M,80,76,81,84,59,62,"171cm | 5'7""
                                                                              Lean  (62kg)",82,442,2151
Walter Benítez,81,GK,Rare,1K,1,2,M \ M,80,79,77,83,48,80,"191cm | 6'3""
                                                                              High & Stocky  (93kg)",66,447,944
Joaquín Correa,81,CF,Rare,1.3K,4,4,H \ M,84,75,77,85,39,69,"188cm | 6'2""
                                                                              High & Average+  (77kg)",185,429,2001
Ander Capa Rodríguez,81,RB,Rare,1.6K,3,3,H \ H,83,65,77,79,75,88,"175cm | 5'9""
                                                                              Stocky  (75kg)",546,467,2188
Youri Tielemans,81,CM,Rare,1.1K,4,5,M \ M,64,78,82,79,69,71,"176cm | 5'9""
                                                                              Average  (72kg)",155,443,2174
Matteo Politano,81,RM,Rare,1.1K,4,4,H \ M,83,77,78,84,42,55,"171cm | 5'7""
                                                                              Average  (67kg)",118,419,2025
James Maddison,81,CAM,Rare,1.4K,4,4,H \ M,75,76,84,82,54,58,"175cm | 5'9""
                                                                              Lean  (73kg)",227,429,2088
Everton Sousa Soares,81,LW,Rare,1K,4,3,H \ L,86,75,72,84,32,60,"174cm | 5'9""
                                                                              Average  (72kg)",380,409,1942
Wout Weghorst,81,ST,Rare,1K,3,3,H \ H,65,82,59,70,39,85,"197cm | 6'6""
                                                                              High & Average  (84kg)",115,400,1885
Lucas Torreira,81,CDM,Rare,8K,3,3,M \ H,74,67,75,79,79,74,"168cm | 5'6""
                                                                              Short & Lean-  (65kg)",211,448,2141
Gonçalo Manuel Ganchinho Guedes,81,LM,Rare,1.1K,4,4,H \ M,87,79,76,81,36,69,"179cm | 5'10""
                                                                              Average  (68kg)",155,428,2032
Benjamin Pavard,81,RB,Rare,1.1K,3,3,M \ H,69,53,73,72,81,76,"186cm | 6'1""
                                                                              High & Average+  (76kg)",77,424,2052
Marko Dmitrović,81,GK,Non-Rare,750,1,2,M \ M,78,80,79,82,37,81,"194cm | 6'4""
                                                                              High & Average  (94kg)",174,437,905
Richarlison de Andrade,81,ST,Rare,2K,4,5,H \ H,83,78,72,81,50,80,"181cm | 5'11""
                                                                              Average  (71kg)",3664,444,2116
Raphael Dias Belloli,81,RM,Rare,12.25K,4,3,H \ M,91,75,74,82,49,71,"176cm | 5'9""
                                                                              Lean  (68kg)",268,442,2100
Houssem Aouar,81,CM,Rare,1.6K,4,3,H \ M,76,75,80,84,66,69,"175cm | 5'9""
                                                                              Lean  (70kg)",395,450,2153
Manuel Lazzari,81,RM,Rare,1K,3,3,H \ H,89,62,77,82,54,63,"174cm | 5'9""
                                                                              Lean  (67kg)",96,427,1969
Tomáš Souček,81,CDM,Rare,1.1K,3,3,H \ H,68,69,73,74,80,83,"192cm | 6'4""
                                                                              High & Average+  (86kg)",278,447,2105
Marc Cucurella Saseta,81,LM,Rare,1K,3,3,H \ M,81,67,78,79,73,74,"172cm | 5'8""
                                                                              Lean  (66kg)",14,452,2132
Rúben Santos Gato Alves Dias,81,CB,Rare,12.5K,2,4,M \ H,65,38,54,60,83,84,"187cm | 6'2""
                                                                              High & Average  (82kg)",115,384,1781
Renan Augusto Lodi dos Santos,81,LB,Rare,2.9K,4,3,H \ M,84,67,76,81,75,75,"173cm | 5'8""
                                                                              Lean  (68kg)",658,458,2175
Eran Zahavi,81,ST,Rare,1K,4,4,H \ L,79,82,75,82,39,73,"182cm | 6'0""
                                                                              Lean  (71kg)",-531,430,2080
Alessandro Florenzi,81,RB,Rare,1.9K,4,3,H \ H,81,77,76,79,77,73,"173cm | 5'8""
                                                                              Unique  (67kg)",213,463,2259
Santiago Arias,81,RB,Rare,1K,3,3,H \ M,81,53,70,76,77,78,"178cm | 5'10""
                                                                              Lean  (72kg)",91,435,2036
Rúben Santos Gato Alves Dias,81,CB,Rare,2.7K,2,4,M \ H,65,38,54,60,83,84,"187cm | 6'2""
                                                                              High & Average  (82kg)",302,384,1781
Lucas Torreira,81,CDM,Rare,1.5K,3,3,M \ H,74,67,75,79,79,74,"168cm | 5'6""
                                                                              Short & Lean-  (65kg)",145,448,2141
Raphael Dias Belloli,81,RM,Rare,1.1K,4,3,H \ M,91,75,74,82,49,71,"176cm | 5'9""
                                                                              Lean  (68kg)",938,442,2100
Felipe Anderson Pereira Gomes,81,LM,Rare,1.3K,4,4,H \ M,89,75,78,86,55,61,"175cm | 5'9""
                                                                              Unique  (70kg)",145,444,2071
Sébastien Haller,81,ST,Rare,1K,3,3,H \ M,70,80,62,75,51,82,"190cm | 6'3""
                                                                              High & Average  (82kg)",210,420,1999
Moussa Dembélé,81,ST,Rare,1.4K,3,3,H \ M,81,79,62,76,30,83,"183cm | 6'0""
                                                                              Average  (74kg)",216,411,1930
Sami Khedira,81,CM,Rare,1K,2,4,M \ M,45,74,77,77,79,78,"189cm | 6'2""
                                                                              High & Average  (90kg)",64,430,2104
Arkadiusz Milik,81,ST,Rare,1K,4,3,M \ M,68,85,64,76,39,73,"186cm | 6'1""
                                                                              High & Average+  (78kg)",66,405,1971
Mario Götze,81,CAM,Rare,1.2K,4,4,H \ M,69,75,83,84,55,69,"176cm | 5'9""
                                                                              Average  (71kg)",666,435,2122
Marek Hamšík,81,CM,Rare,1K,4,5,H \ M,70,77,82,81,72,72,"183cm | 6'0""
                                                                              Lean  (73kg)",241,454,2195
Theo Hernández,80,LB,Rare,2.3K,3,3,H \ M,92,67,73,77,74,77,"184cm | 6'0""
                                                                              Unique  (82kg)",1245,460,2096
Vinícius Júnior,80,LW,Rare,3.1K,5,4,H \ M,95,69,71,86,29,66,"176cm | 5'9""
                                                                              Lean  (73kg)",1302,416,1954
James Milner,80,CM,Rare,1.4K,3,4,H \ H,58,70,82,78,77,77,"175cm | 5'9""
                                                                              Stocky  (70kg)",125,442,2208
Oleksandr Zinchenko,80,LB,Rare,1.2K,3,3,H \ M,73,66,81,80,77,69,"175cm | 5'9""
                                                                              Lean  (64kg)",68,446,2159
Ben Davies,80,LB,Rare,1K,3,3,M \ H,73,58,75,75,78,74,"182cm | 6'0""
                                                                              Lean  (76kg)",65,433,2036
Pierre-Emile Højbjerg,80,CDM,Non-Rare,800,3,4,M \ H,61,70,76,75,77,80,"185cm | 6'1""
                                                                              High & Average  (84kg)",143,439,2092
Serge Aurier,80,RB,Rare,1.2K,3,3,H \ M,76,60,73,76,77,77,"174cm | 5'9""
                                                                              Stocky  (74kg)",103,439,2094
Erik Lamela,80,RM,Rare,1.5K,4,2,H \ H,75,78,80,82,54,72,"184cm | 6'0""
                                                                              Lean  (80kg)",-61,441,2129
Tanguy Ndombele,80,CM,Rare,1.6K,4,3,M \ M,74,66,80,87,69,74,"181cm | 5'11""
                                                                              Unique  (76kg)",564,450,2128
Lucas Vázquez,80,RW,Rare,2.6K,4,4,H \ H,81,73,78,80,58,69,"173cm | 5'8""
                                                                              Average  (70kg)",97,439,2102
Luka Jovic,80,ST,Rare,4.3K,3,5,M \ M,75,81,68,80,29,74,"182cm | 6'0""
                                                                              Average  (85kg)",211,407,1945
Simon Kjær,80,CB,Non-Rare,1K,2,3,L \ H,61,55,64,56,81,75,"191cm | 6'3""
                                                                              High & Average  (82kg)",105,392,1854
Nico Schulz,80,LB,Rare,1.5K,3,2,H \ M,87,51,74,75,73,75,"181cm | 5'11""
                                                                              Average  (83kg)",222,435,2015
Łukasz Piszczek,80,CB,Rare,1.2K,2,4,H \ M,72,68,74,72,81,78,"184cm | 6'0""
                                                                              Average  (79kg)",282,445,2143
Arjen Robben,80,RM,Rare,1K,4,2,M \ L,74,82,78,86,30,57,"180cm | 5'11""
                                                                              Average  (80kg)",2050,407,1991
Mason Mount,80,CAM,Rare,2.9K,3,4,H \ M,74,77,79,80,48,61,"178cm | 5'10""
                                                                              Lean  (70kg)",237,419,2015
Kurt Zouma,80,CB,Rare,2.4K,2,3,M \ M,67,51,61,56,80,84,"190cm | 6'3""
                                                                              High & Average  (95kg)",439,399,1897
Julian Draxler,80,CAM,Rare,1.7K,4,5,M \ M,75,76,80,82,55,63,"187cm | 6'2""
                                                                              High & Average+  (77kg)",66,431,2087
Nicolò Barella,80,CM,Rare,1.1K,3,3,M \ H,78,67,79,82,74,72,"175cm | 5'9""
                                                                              Average  (68kg)",204,452,2158
Matias Vecino,80,CDM,Rare,1K,4,3,H \ H,65,68,77,80,78,75,"187cm | 6'2""
                                                                              High & Average+  (81kg)",27,443,2123
Alexis Sánchez,80,LW,Rare,1.1K,4,3,H \ H,79,78,77,84,44,70,"168cm | 5'6""
                                                                              Unique  (62kg)",158,432,2120
Çaglar Söyüncü,80,CB,Rare,1.2K,2,4,M \ M,69,46,60,67,80,80,"185cm | 6'1""
                                                                              High & Average  (82kg)",226,402,1867
Dean Henderson,80,GK,Rare,1.1K,1,3,M \ M,80,80,70,83,50,77,"190cm | 6'3""
                                                                              High & Average  (85kg)",255,440,882
Danny Ings,80,ST,Rare,1.8K,3,4,H \ H,76,81,67,78,32,69,"178cm | 5'10""
                                                                              Average  (73kg)",152,403,1935
Nani,80,LW,Rare,1K,5,5,H \ M,72,76,79,85,37,67,"177cm | 5'10""
                                                                              Lean  (70kg)",124,416,2015
David Neres,80,LW,Rare,1.1K,5,3,M \ M,86,73,73,85,36,65,"176cm | 5'9""
                                                                              Lean  (66kg)",295,418,1963
Federico Bernardeschi,80,CAM,Rare,1K,5,3,H \ M,80,75,80,83,60,65,"185cm | 6'1""
                                                                              High & Average+  (77kg)",130,443,2114
Allan Saint-Maximin,80,LM,Rare,2.9K,5,4,H \ L,93,70,72,87,25,63,"173cm | 5'8""
                                                                              Average  (67kg)",3710,410,1909
Gelson Martins,80,RM,Rare,1.6K,5,3,H \ H,94,71,72,85,51,61,"173cm | 5'8""
                                                                              Average  (74kg)",1776,434,2065
Sebastian Giovinco,80,CAM,Rare,1K,4,4,H \ M,80,77,78,86,27,56,"163cm | 5'4""
                                                                              Short & Lean-  (61kg)",125,404,1986
Leon Bailey,80,LM,Rare,1.3K,4,4,H \ L,94,76,73,82,33,64,"178cm | 5'10""
                                                                              Average  (79kg)",351,422,2008
Willy Boly,80,CB,Rare,1.7K,2,4,M \ M,62,36,64,65,80,83,"195cm | 6'5""
                                                                              High & Average  (97kg)",89,390,1799
Fabio Quagliarella,80,ST,Non-Rare,1.1K,4,4,M \ M,64,85,75,80,30,63,"180cm | 5'11""
                                                                              Average  (79kg)",67,397,1974
Mathew Ryan,80,GK,Non-Rare,2.3K,1,4,M \ M,81,75,82,82,53,78,"184cm | 6'0""
                                                                              Average  (82kg)",125,451,1032
Joaquín Sánchez Rodríguez,80,LM,Rare,1K,4,3,H \ M,69,79,83,80,44,57,"179cm | 5'10""
                                                                              Average  (75kg)",110,412,1990
Igor Akinfeev,80,GK,Non-Rare,950,1,3,M \ M,77,72,78,84,51,82,"186cm | 6'1""
                                                                              High & Average  (78kg)",60,444,917
Bafétimbi Gomis,80,ST,Rare,1K,3,3,H \ L,67,82,67,76,36,74,"184cm | 6'0""
                                                                              Average  (77kg)",72,402,1931
Mousa Dembélé,80,CM,Rare,1K,4,2,H \ H,73,68,77,87,73,79,"185cm | 6'1""
                                                                              High & Average  (85kg)",109,457,2171
